,File,File_Size,Creation_Date,File_Description,IFC_File_Name,IFC_Organization,IFC_Application,Location,latitude,longitude
0,%D0%A2%D0%BE%D0%BF%D0%BE%D0%9F%D1%80%D0%BE%D1%81%D1%82%D0%B0%D1%8F.ifc,0.008544922,Thu May 20 16:29:33 2021,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20200826_1250x64 - Exporter 20.2.30.42 - \X2\0410043B044C044204350440043D0430044204380432043D044B0439\X0\ \X2\0438043D0442043504400444043504390441\X0\ 20.2.30.42,
",,"2020,Autodesk Revit 2020 (RUS),Revit
",,,
1,%D1%84.ifc,3.465817451,,"CoordinationView, 2,1"," SketchUp Pro 2015, 
",SketchUp," 2015, SketchUp Pro 2015, 2015
",,,
2,%E4%B8%AD.ifc,1.588352203,Mon Jun 13 11:26:01 2016,"IFC2X_PLATFORM,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20160225_1515x64 - Exporter 17.0.416.0 - Alternate UI 17.12.14.0,
",,"2017,Autodesk Revit 2017 (CHS),Revit
",,,
3,%E4%B8%BB%E5%B1%95%E9%A6%86.ifc,6.619888306,Tue Dec 31 16:31:49 2019,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20160225_1515x64 - Exporter 17.0.416.0 - Alternate UI 17.12.14.0,
",,"2017,Autodesk Revit 2017 (CHS),Revit
",,,
4,%E5%85%AC%E7%9B%8A%E5%B0%8F%E6%A1%A5.ifc,0.275998116,Sat Sep 07 18:44:11 2019,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20170223_1515x64 - Exporter 18.0.0.420 - Alternate UI 18.0.0.420,
",,"2018,Autodesk Revit 2018 (CHS),Revit
",,,
5,%E5%88%AB%E5%A2%85.ifc,25.86629581,Fri Apr 14 11:16:06 2017,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.01.0100.02.64mod : 6 Jun 2012,20130308_1515x64 - Exporter 2014.0.2013.0308 - Default UI,
",Autodesk,"2014,Autodesk Revit 2014 (ENU),Revit
","Boston, Suffolk County, Massachusetts, United States",42.3554334,-71.060511
6,%E5%89%AF%E7%9B%91%E6%8E%A7%E4%B8%AD%E5%BF%83.ifc,5.952659607,Tue Dec 31 16:19:56 2019,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20160225_1515x64 - Exporter 17.0.416.0 - Alternate UI 17.12.14.0,
",,"2017,Autodesk Revit 2017 (CHS),Revit
",,,
7,%E5%8C%BB%E9%99%A2CT%E5%AE%A42018.ifc,7.449914932,Sun Oct 11 09:35:14 2020,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20170223_1515x64 - Exporter 18.0.0.420 - Alternate UI 18.0.0.420,
",,"2018,Autodesk Revit 2018 (CHS),Revit
",,,
8,%E5%8F%8C%E6%8B%BC%E5%88%AB%E5%A2%85.ifc,28.43250561,Tue Dec 31 16:22:59 2019,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20160225_1515x64 - Exporter 17.0.416.0 - Alternate UI 17.12.14.0,
",,"2017,Autodesk Revit 2017 (CHS),Revit
",,,
9,%E5%95%86%E5%9C%BA%E7%AE%80%E5%8C%96%E7%89%88.ifc,54.50734234,Tue Jun 06 10:55:48 2017,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.01.0100.02.64mod : 6 Jun 2012,20130308_1515x64 - Exporter 2014.0.2013.0308 - Default UI,
",,"2014,Autodesk Revit 2014 (CHS),Revit
",,,
10,%E5%9B%9B%E7%BE%8E%E5%A1%98%E4%B8%BB%E7%9B%91%E6%8E%A7%E4%B8%AD%E5%BF%83.ifc,8.388454437,Tue Dec 31 16:25:10 2019,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20160225_1515x64 - Exporter 17.0.416.0 - Alternate UI 17.12.14.0,
",,"2017,Autodesk Revit 2017 (CHS),Revit
",,,
11,%E5%A4%96%E5%9B%B4%E5%B9%95%E5%A2%992015.ifc,66.62514114,Fri Nov 27 11:17:06 2015,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20140223_1515x64 - Exporter 2015.0.2014.0223 - Default UI,
",,"2015,Autodesk Revit 2015 (CHS),Revit
",,,
12,%E5%AE%89%E4%B8%AD%E5%A4%A7%E6%A5%BC.ifc,4.907818794,Sat May 18 13:59:56 2019,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20160225_1515x64 - Exporter 17.0.416.0 - Alternate UI 17.12.14.0,
",,"2017,Autodesk Revit 2017 (CHS),Revit
",,,
13,%E5%B0%8F%E9%AB%98%E5%B1%82%E5%95%86%E4%BD%8F%E6%A5%BC.0001.ifc,9.878305435,Mon Sep 16 10:52:27 2019,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20160225_1515x64 - Exporter 17.0.416.0 - Alternate UI 17.12.14.0,
",,"2017,Autodesk Revit 2017 (CHS),Revit
",,,
14,%E5%B0%8F.ifc,0.025844574,Thu Apr 07 14:51:37 2016,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20150220_1215x64 - Exporter 16.0.428.0 - Default UI,
",,"2016,Autodesk Revit 2016 (CHS),Revit
",,,
15,%E6%95%99%E5%AD%A6%E6%A5%BC%E9%A1%B9%E7%9B%AE.ifc,3.252161026,Tue Sep 10 18:10:55 2019,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20160225_1515x64 - Exporter 17.0.416.0 - Alternate UI 17.12.14.0,
",,"2017,Autodesk Revit 2017 (CHS),Revit
",,,
16,%E6%A1%8C%E5%AD%90.ifc,5.865748405,Tue Nov 06 08:45:44 2018,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20150220_1215x64 - Exporter 16.0.428.0 - Default UI,
",,"2016,Autodesk Revit 2016 (CHS),Revit
",,,
17,%E7%BD%91%E6%9E%B6.ifc,0.017595291,,"model build from MIDAS,2,1, "," , 
","MIDAS,MIDAS","V1.0,MIDAS,MIDAS
",,,
18,%E8%BD%A6%E5%BA%93P3.ifc,2.766414642,Mon Nov 21 10:45:01 2016,"DesignTransferView_V1.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20160225_1515x64 - Exporter 17.0.416.0 - Alternate UI 17.12.14.0,
",,"2017,Autodesk Revit 2017 (CHS),Revit
",,,
19,%E9%85%8D%E7%94%B5%E5%AE%A40723-%E6%A1%A5%E6%9E%B6%EF%BC%88%E6%97%A0%E7%A2%B0%E6%92%9E%EF%BC%89.ifc,0.735713959,Mon Nov 21 10:54:54 2016,"DesignTransferView_V1.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20160225_1515x64 - Exporter 17.0.416.0 - Alternate UI 17.12.14.0,
",,"2017,Autodesk Revit 2017 (CHS),Revit
",,,
